CID,FST_USE_DT
CID0092102,20161116
CID0111878,20161118
CID0264977,20161120
CID0059996,20160907
CID0057096,20160910
CID0152613,20160908
CID0215815,20160908
CID0317274,20160907
CID0061376,20160908
CID0145980,20160907
CID0150490,20160907
CID0219839,20160908
CID0378641,20160927
CID0111015,20160928
CID0344079,20160908
CID0118994,20160908
CID0082006,20160906
CID0383647,20160906
CID0241129,20160908
CID0215773,20160906
CID0345664,20160907
CID0230647,20160908
CID0177372,20160908
CID0198550,20160909
CID0002028,20160908
CID0149083,20160907
CID0307449,20161119
CID0116943,20161028
CID0241661,20161022
CID0342240,20161022
CID0006192,20161022
CID0337503,20161022
CID0096557,20161022
CID0160608,20161022
CID0012813,20161025
CID0320934,20161022
CID0055678,20161022
CID0007167,20161026
CID0256866,20161022
CID0347134,20161025
CID0310759,20161022
CID0301544,20161115
CID0305551,20161112
CID0345693,20160906
CID0239295,20160907
CID0214873,20160907
CID0021175,20160906
CID0037051,20160909
CID0263650,20160907
CID0377205,20160908
CID0207700,20160908
CID0301547,20160908
CID0348120,20161122
CID0155834,20161123
CID0007507,20161028
CID0023837,20161028
CID0173408,20161022
CID0237792,20161022
CID0276161,20161112
CID0144936,20161021
CID0285036,20161022
CID0035818,20161022
CID0346189,20161025
CID0135215,20161022
CID0368392,20161022
CID0350278,20161025
CID0220608,20161022
CID0374827,20161025
CID0339037,20161025
CID0383006,20161123
CID0341496,20161022
CID0058460,20161022
CID0173103,20161022
CID0298127,20161027
CID0321257,20161027
CID0056997,20161027
CID0367405,20161027
CID0118307,20161025
CID0201939,20161022
CID0265703,20161022
CID0034092,20161022
CID0114001,20161022
CID0171162,20161025
CID0208216,20161025
CID0053608,20161025
CID0051818,20161201
CID0223655,20161201
CID0034776,20161129
CID0054761,20161130
CID0249129,20161129
CID0070061,20161130
CID0152581,20161129
CID0212276,20161130
CID0368340,20161026
CID0143484,20161025
CID0019293,20161028
CID0212035,20161027
CID0290252,20161029
CID0156468,20161021
CID0264721,20161025
